tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0019777,movie,The Cocoanuts,The Cocoanuts,0,1929,\N,96,"Comedy,Musical,Romance"
tt0021884,movie,Frankenstein,Frankenstein,0,1931,\N,70,"Drama,Horror,Sci-Fi"
tt0022054,movie,The Last Flight,The Last Flight,0,1931,\N,76,Drama
tt0022626,movie,American Madness,American Madness,0,1932,\N,75,"Drama,Mystery"
tt0022958,movie,Grand Hotel,Grand Hotel,0,1932,\N,112,"Drama,Romance"
tt0023622,movie,Trouble in Paradise,Trouble in Paradise,0,1932,\N,83,"Comedy,Crime,Romance"
tt0023686,movie,What Price Hollywood?,What Price Hollywood?,0,1932,\N,88,"Drama,Romance"
tt0023969,movie,Duck Soup,Duck Soup,0,1933,\N,69,"Comedy,Musical"
tt0024216,movie,King Kong,King Kong,0,1933,\N,100,"Adventure,Horror"
tt0024368,movie,Mystery of the Wax Museum,Mystery of the Wax Museum,0,1933,\N,77,"Horror,Mystery,Thriller"
tt0025878,movie,The Thin Man,The Thin Man,0,1934,\N,91,"Comedy,Crime,Mystery"
tt0025905,movie,Transatlantic Merry-Go-Round,Transatlantic Merry-Go-Round,0,1934,\N,91,"Comedy,Musical,Mystery"
tt0027996,movie,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,0,1936,\N,115,"Comedy,Drama,Romance"
tt0029162,movie,Lost Horizon,Lost Horizon,0,1937,\N,132,"Adventure,Drama,Fantasy"
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,\N,129,"Comedy,Drama"
tt0031725,movie,Ninotchka,Ninotchka,0,1939,\N,110,"Comedy,Romance"
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,"Adventure,Family,Fantasy"
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,\N,129,Drama
tt0032599,movie,His Girl Friday,His Girl Friday,0,1940,\N,92,"Comedy,Drama,Romance"
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery"
tt0033553,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1941,\N,113,"Drama,Horror,Sci-Fi"
tt0033891,movie,Meet John Doe,Meet John Doe,0,1941,\N,122,"Comedy,Drama,Romance"
tt0034240,movie,Sullivan's Travels,Sullivan's Travels,0,1941,\N,90,"Adventure,Comedy,Drama"
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance"
tt0036027,movie,I Walked with a Zombie,I Walked with a Zombie,0,1943,\N,69,"Drama,Fantasy,Horror"
tt0036104,movie,The Leopard Man,The Leopard Man,0,1943,\N,66,"Film-Noir,Horror,Thriller"
tt0036341,movie,The Seventh Victim,The Seventh Victim,0,1943,\N,71,"Drama,Horror,Mystery"
tt0036733,movie,The Curse of the Cat People,The Curse of the Cat People,0,1944,\N,70,"Drama,Horror,Mystery"
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,\N,107,"Crime,Drama,Film-Noir"
tt0037343,movie,Tall in the Saddle,Tall in the Saddle,0,1944,\N,87,Western
tt0037549,movie,The Body Snatcher,The Body Snatcher,0,1945,\N,78,"Horror,Thriller"
tt0037820,movie,Isle of the Dead,Isle of the Dead,0,1945,\N,71,"Drama,Horror,Mystery"
tt0037884,movie,The Lost Weekend,The Lost Weekend,0,1945,\N,101,"Drama,Film-Noir"
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy"
tt0040202,movie,Call Northside 777,Call Northside 777,0,1948,\N,112,"Drama,Film-Noir"
tt0040525,movie,The Lady from Shanghai,The Lady from Shanghai,0,1947,\N,87,"Crime,Drama,Film-Noir"
tt0040613,movie,Mr. Blandings Builds His Dream House,Mr. Blandings Builds His Dream House,0,1948,\N,94,"Comedy,Romance"
tt0040835,movie,Station West,Station West,0,1948,\N,97,Western
tt0041827,movie,Roughshod,Roughshod,0,1949,\N,88,"Action,Adventure,Drama"
tt0041866,movie,She Wore a Yellow Ribbon,She Wore a Yellow Ribbon,0,1949,\N,104,Western
tt0041959,movie,The Third Man,The Third Man,0,1949,\N,93,"Film-Noir,Mystery,Thriller"
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir"
tt0043456,movie,The Day the Earth Stood Still,The Day the Earth Stood Still,0,1951,\N,92,"Drama,Sci-Fi"
tt0045943,movie,Julius Caesar,Julius Caesar,0,1953,\N,120,"Drama,History"
tt0046359,movie,Stalag 17,Stalag 17,0,1953,\N,120,"Comedy,Drama,War"
tt0046534,movie,The War of the Worlds,The War of the Worlds,0,1953,\N,85,"Action,Sci-Fi,Thriller"
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,\N,108,"Crime,Drama,Thriller"
tt0047396,movie,Rear Window,Rear Window,0,1954,\N,112,"Mystery,Thriller"
tt0047443,movie,Salt of the Earth,Salt of the Earth,0,1954,\N,94,"Drama,History"
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,\N,207,"Action,Drama"
tt0047673,movie,White Christmas,White Christmas,0,1954,\N,120,"Comedy,Musical,Romance"
tt0047849,movie,Bad Day at Black Rock,Bad Day at Black Rock,0,1955,\N,81,"Crime,Drama,Mystery"
tt0049470,movie,The Man Who Knew Too Much,The Man Who Knew Too Much,0,1956,\N,120,"Drama,Thriller"
tt0049730,movie,The Searchers,The Searchers,0,1956,\N,119,"Adventure,Drama,Western"
tt0050105,movie,An Affair to Remember,An Affair to Remember,0,1957,\N,115,"Drama,Romance"
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy"
tt0051036,movie,Sweet Smell of Success,Sweet Smell of Success,0,1957,\N,96,"Drama,Film-Noir"
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,\N,116,"Crime,Drama,Mystery"
tt0052311,movie,Touch of Evil,Touch of Evil,0,1958,\N,95,"Crime,Drama,Film-Noir"
tt0052357,movie,Vertigo,Vertigo,0,1958,\N,128,"Mystery,Romance,Thriller"
tt0052561,movie,Anatomy of a Murder,Anatomy of a Murder,0,1959,\N,161,"Drama,Mystery"
tt0053125,movie,North by Northwest,North by Northwest,0,1959,\N,136,"Action,Adventure,Mystery"
tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,\N,75,"Adventure,Animation,Family"
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Music,Romance"
tt0053604,movie,The Apartment,The Apartment,0,1960,\N,125,"Comedy,Drama,Romance"
tt0053619,movie,L'Avventura,L'avventura,0,1960,\N,144,"Drama,Mystery,Romance"
tt0054167,movie,Peeping Tom,Peeping Tom,0,1960,\N,101,"Drama,Horror,Thriller"
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Horror,Mystery,Thriller"
tt0054240,movie,Orgy of the Dead,Orgy of the Dead,0,1965,\N,92,"Fantasy,Horror"
tt0054997,movie,The Hustler,The Hustler,0,1961,\N,134,"Drama,Sport"
tt0055601,movie,Viridiana,Viridiana,0,1961,\N,91,Drama
tt0056869,movie,The Birds,The Birds,0,1963,\N,119,"Drama,Horror,Mystery"
tt0058414,movie,Nothing But a Man,Nothing But a Man,0,1964,\N,95,"Drama,Romance"
tt0058946,movie,The Battle of Algiers,La battaglia di Algeri,0,1966,\N,121,"Drama,War"
tt0059037,movie,The Cincinnati Kid,The Cincinnati Kid,0,1965,\N,102,Drama
tt0060397,movie,Fantastic Voyage,Fantastic Voyage,0,1966,\N,100,"Adventure,Sci-Fi"
tt0060490,movie,Harper,Harper,0,1966,\N,121,"Crime,Drama,Mystery"
tt0061418,movie,Bonnie and Clyde,Bonnie and Clyde,0,1967,\N,111,"Action,Biography,Crime"
tt0061512,movie,Cool Hand Luke,Cool Hand Luke,0,1967,\N,127,"Crime,Drama"
tt0061619,movie,El Dorado,El Dorado,0,1966,\N,126,"Drama,Romance,Western"
tt0061722,movie,The Graduate,The Graduate,0,1967,\N,106,"Comedy,Drama,Romance"
tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Comedy"
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi"
tt0063426,movie,Petulia,Petulia,0,1968,\N,105,"Drama,Romance"
tt0063442,movie,Planet of the Apes,Planet of the Apes,0,1968,\N,112,"Adventure,Sci-Fi"
tt0064665,movie,Midnight Cowboy,Midnight Cowboy,0,1969,\N,113,Drama
tt0065214,movie,The Wild Bunch,The Wild Bunch,0,1969,\N,135,"Action,Adventure,Drama"
tt0065462,movie,Beneath the Planet of the Apes,Beneath the Planet of the Apes,0,1970,\N,95,"Action,Adventure,Sci-Fi"
tt0065528,movie,Catch-22,Catch-22,0,1970,\N,122,"Comedy,Drama,War"
tt0065724,movie,Five Easy Pieces,Five Easy Pieces,0,1970,\N,98,Drama
tt0066026,movie,M*A*S*H,MASH,0,1970,\N,116,"Comedy,Drama,War"
tt0066249,movie,The Private Life of Sherlock Holmes,The Private Life of Sherlock Holmes,0,1970,\N,125,"Adventure,Comedy,Crime"
tt0066302,movie,The Rise and Rise of Michael Rimmer,The Rise and Rise of Michael Rimmer,0,1970,\N,100,Comedy
tt0066434,movie,THX 1138,THX 1138,0,1971,\N,86,"Drama,Sci-Fi,Thriller"
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Sci-Fi"
tt0067023,tvMovie,Duel,Duel,0,1971,\N,90,"Action,Thriller"
tt0067116,movie,The French Connection,The French Connection,0,1971,\N,104,"Action,Crime,Drama"
tt0067180,movie,"Happy Birthday, Wanda June","Happy Birthday, Wanda June",0,1971,\N,105,"Comedy,Drama"
tt0067185,movie,Harold and Maude,Harold and Maude,0,1971,\N,91,"Comedy,Drama,Romance"
tt0067217,movie,The Hospital,The Hospital,0,1971,\N,103,"Comedy,Drama,Mystery"
tt0067309,movie,Klute,Klute,0,1971,\N,114,"Crime,Mystery,Thriller"
tt0067525,movie,The Omega Man,The Omega Man,0,1971,\N,98,"Action,Drama,Sci-Fi"
tt0067588,movie,Play Misty for Me,Play Misty for Me,0,1971,\N,102,"Drama,Thriller"
tt0067893,movie,Two-Lane Blacktop,Two-Lane Blacktop,0,1971,\N,102,Drama
tt0067927,movie,Vanishing Point,Vanishing Point,0,1971,\N,99,"Action,Crime,Thriller"
tt0067991,movie,Willard,Willard,0,1971,\N,95,Horror
tt0068327,movie,Cabaret,Cabaret,0,1972,\N,124,"Drama,Music,Musical"
tt0068408,movie,Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,0,1972,\N,88,"Action,Sci-Fi"
tt0068451,movie,The Day the Clown Cried,The Day the Clown Cried,0,1972,\N,90,Drama
tt0068473,movie,Deliverance,Deliverance,0,1972,\N,109,"Adventure,Drama,Thriller"
tt0068638,movie,The Getaway,The Getaway,0,1972,\N,123,"Action,Crime,Thriller"
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama"
