laureates_id,prize_id,given_name,family_name,gender,birth_date,birth_city,birth_country,birth_country_now,birth_continent,death_date,death_city,death_country,death_country_now,death_continent
160,1,Jacobus H.,van 't Hoff,male,1852-08-30,Rotterdam,the Netherlands,the Netherlands,Europe,1911-03-01,Berlin,Germany,Germany,Europe
569,2,Sully,Prudhomme,male,1839-03-16,Paris,France,France,Europe,1907-09-07,Châtenay,France,France,Europe
463,3,Frédéric,Passy,male,1822-05-20,Paris,France,France,Europe,1912-06-12,Paris,France,France,Europe
462,3,Henry,Dunant,male,1828-05-08,Geneva,Switzerland,Switzerland,Europe,1910-10-30,Heiden,Switzerland,Switzerland,Europe
1,4,Wilhelm Conrad,Röntgen,male,1845-03-27,Lennep,Prussia,Germany,Europe,1923-02-10,Munich,Germany,Germany,Europe
293,5,Emil,von Behring,male,1854-03-15,Hansdorf,Prussia,Poland,Europe,1917-03-31,Marburg,Germany,Germany,Europe
161,6,Emil,Fischer,male,1852-10-09,Euskirchen,Prussia,Germany,Europe,1919-07-15,Berlin,Germany,Germany,Europe
571,7,Theodor,Mommsen,male,1817-11-30,Garding,Schleswig,Germany,Europe,1903-11-01,Charlottenburg,Germany,Germany,Europe
465,8,Albert,Gobat,male,1843-05-21,Tramelan,Switzerland,Switzerland,Europe,1914-03-16,Bern,Switzerland,Switzerland,Europe
464,8,Élie,Ducommun,male,1833-02-19,Geneva,Switzerland,Switzerland,Europe,1906-12-07,Bern,Switzerland,Switzerland,Europe
2,9,Hendrik A.,Lorentz,male,1853-07-18,Arnhem,the Netherlands,the Netherlands,Europe,1928-02-04,NA,the Netherlands,the Netherlands,Europe
3,9,Pieter,Zeeman,male,1865-05-25,Zonnemaire,the Netherlands,the Netherlands,Europe,1943-10-09,Amsterdam,the Netherlands,the Netherlands,Europe
294,10,Ronald,Ross,male,1857-05-13,Almora,India,India,Asia,1932-09-16,Putney Heath,United Kingdom,United Kingdom,Europe
162,11,Svante,Arrhenius,male,1859-02-19,Vik,Sweden,Sweden,Europe,1927-10-02,Stockholm,Sweden,Sweden,Europe
572,12,Bjørnstjerne,Bjørnson,male,1832-12-08,Kvikne,Norway,Norway,Europe,1910-04-26,Paris,France,France,Europe
466,13,Randal,Cremer,male,1828-03-18,Fareham,United Kingdom,United Kingdom,Europe,1908-07-22,London,United Kingdom,United Kingdom,Europe
4,14,Henri,Becquerel,male,1852-12-15,Paris,France,France,Europe,1908-08-25,NA,France,France,Europe
6,14,Marie,Curie,female,1867-11-07,Warsaw,Russian Empire,Poland,Europe,1934-07-04,Sallanches,France,France,Europe
5,14,Pierre,Curie,male,1859-05-15,Paris,France,France,Europe,1906-04-19,Paris,France,France,Europe
295,15,Niels Ryberg,Finsen,male,1860-12-15,Thorshavn,Faroe Islands (Denmark),Faroe Islands (Denmark),Europe,1904-09-24,Copenhagen,Denmark,Denmark,Europe
163,16,Sir William,Ramsay,male,1852-10-02,Glasgow,Scotland,Scotland,Europe,1916-07-23,High Wycombe,United Kingdom,United Kingdom,Europe
