prize_id,award_year,award_date,category,amount,amount_adjusted,motivation
1,1901,1901-11-12,Chemistry,150782,9704878,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
2,1901,1901-11-14,Literature,150782,9704878,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
3,1901,1901-12-10,Peace,150782,9704878,"for his lifelong work for international peace conferences, diplomacy and arbitration"
4,1901,1901-11-12,Physics,150782,9704878,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
5,1901,1901-10-30,Physiology or Medicine,150782,9704878,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
6,1902,1902-11-11,Chemistry,141847,9129789,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
7,1902,1902-11-13,Literature,141847,9129789,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"
8,1902,1902-12-10,Peace,141847,9129789,for his eminently practical administration of the Inter-Parliamentary Union
9,1902,1902-11-11,Physics,141847,9129789,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
10,1902,1902-10-30,Physiology or Medicine,141847,9129789,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
11,1903,1903-11-12,Chemistry,141358,8830717,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
12,1903,1903-11-19,Literature,141358,8830717,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
13,1903,1903-12-10,Peace,141358,8830717,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
14,1903,1903-11-12,Physics,141358,8830717,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
15,1903,1903-10-15,Physiology or Medicine,141358,8830717,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
16,1904,1904-11-08,Chemistry,140859,8799545,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
17,1904,1904-11-17,Literature,140859,8799545,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist"
18,1904,1904-12-10,Peace,140859,8799545,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane
19,1904,1904-11-08,Physics,140859,8799545,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
20,1904,1904-10-20,Physiology or Medicine,140859,8799545,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
21,1905,1905-11-09,Chemistry,138089,8626501,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
22,1905,1905-11-09,Literature,138089,8626501,because of his outstanding merits as an epic writer
23,1905,1905-12-10,Peace,138089,8626501,for her audacity to oppose the horrors of war
24,1905,1905-11-09,Physics,138089,8626501,for his work on cathode rays
25,1905,1905-10-12,Physiology or Medicine,138089,8626501,for his investigations and discoveries in relation to tuberculosis
26,1906,1906-11-12,Chemistry,138536,8407156,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
27,1906,1906-11-08,Literature,138536,8407156,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
28,1906,1906-12-10,Peace,138536,8407156,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia"
29,1906,1906-11-12,Physics,138536,8407156,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
